date	subject	eventType	object
1966-02-26	AS-201	DEPARTS	Earth
1966-02-26	AS-201	ARRIVES	Sub_Orbital
1966-02-26	AS-201	DEPARTS	Sub_Orbital
1966-02-26	AS-201	ARRIVES	Earth
1966-03-16	Kosmos_110	DEPARTS	LEO
1966-03-16	Kosmos_110	ARRIVES	Earth
1966-03-16	Gemini_8_Spacecraft	SUPPORTS	Gemini_8
1966-03-16	Neil_Armstrong	JOINS	Gemini_8
1966-03-16	David_Scott	JOINS	Gemini_8
1966-03-16	Gemini_8	DEPARTS	Earth
1966-03-16	Gemini_8	ARRIVES	LEO
1966-03-17	Gemini_8	DEPARTS	LEO
1966-03-17	Gemini_8	ARRIVES	Earth
1966-06-03	Gemini_9A_Spacecraft	SUPPORTS	Gemini_9A
1966-06-03	Thomas_P._Stafford	JOINS	Gemini_9A
1966-06-03	Eugene_Cernan	JOINS	Gemini_9A
1966-06-03	Gemini_9A	DEPARTS	Earth
1966-06-03	Gemini_9A	ARRIVES	LEO
1966-06-06	Gemini_9A	DEPARTS	LEO
1966-06-06	Gemini_9A	ARRIVES	Earth
1966-07-18	Gemini_10_Spacecraft	SUPPORTS	Gemini_10
1966-07-18	Michael_Collins_(astronaut)	JOINS	Gemini_10
1966-07-18	John_Young_(astronaut)	JOINS	Gemini_10
1966-07-18	Gemini_10	DEPARTS	Earth
1966-07-18	Gemini_10	ARRIVES	LEO
1966-07-21	Gemini_10	DEPARTS	LEO
1966-07-21	Gemini_10	ARRIVES	Earth
1966-08-25	Apollo_CSM-011	SUPPORTS	AS-202
1966-08-25	AS-202	DEPARTS	Earth
1966-08-25	AS-202	ARRIVES	HEO
1966-08-25	AS-202	DEPARTS	HEO
1966-08-25	AS-202	ARRIVES	Earth
1966-09-12	Gemini_11_Spacecraft	SUPPORTS	Gemini_11
1966-09-12	Richard_F._Gordon_Jr.	JOINS	Gemini_11
1966-09-12	Pete_Conrad	JOINS	Gemini_11
1966-09-12	Gemini_11	DEPARTS	Earth
1966-09-12	Gemini_11	ARRIVES	LEO
1966-09-15	Gemini_11	DEPARTS	LEO
1966-09-15	Gemini_11	ARRIVES	Earth
1966-11-11	Gemini_12_Spacecraft	SUPPORTS	Gemini_12
1966-11-11	Jim_Lovell	JOINS	Gemini_12
1966-11-11	Buzz_Aldrin	JOINS	Gemini_12
1966-11-11	Gemini_12	DEPARTS	Earth
1966-11-11	Gemini_12	ARRIVES	LEO
1966-11-15	Gemini_12	DEPARTS	LEO
1966-11-15	Gemini_12	ARRIVES	Earth
1966-11-28	Soyuz 7K-OK-2	SUPPORTS	Kosmos_133
1966-11-28	Kosmos_133	DEPARTS	Earth
1966-11-28	Kosmos_133	ARRIVES	LEO
1966-11-30	Kosmos_133	DEPARTS	LEO
1966-11-30	Kosmos_133	ARRIVES	Sub_Orbital
1966-11-30	Kosmos_133	ENDS	
1967-02-07	Soyuz 7K-OK-K140	SUPPORTS	Kosmos_140
1967-02-07	Kosmos_140	DEPARTS	Earth
1967-02-07	Kosmos_140	ARRIVES	LEO
1967-02-09	Kosmos_140	DEPARTS	LEO
1967-02-09	Kosmos_140	ARRIVES	Earth
1967-03-10	7K-L1 K146	SUPPORTS	Kosmos_146
1967-03-10	Kosmos_146	DEPARTS	Earth
1967-03-10	Kosmos_146	ARRIVES	HEO
1967-03-10	Kosmos_146	ENDS	
1967-04-08	7K-L1 K154	SUPPORTS	Kosmos_154
1967-04-08	Kosmos_154	DEPARTS	Earth
1967-04-08	Kosmos_154	ARRIVES	LEO
1967-04-10	Kosmos_154	DEPARTS	LEO
1967-04-10	Kosmos_154	ARRIVES	Earth
1967-04-23	Soyuz_1_Spacecraft	SUPPORTS	Soyuz_1
1967-04-23	Vladimir_Komarov	JOINS	Soyuz_1
1967-04-23	Soyuz_1	DEPARTS	Earth
1967-04-23	Soyuz_1	ARRIVES	LEO
1967-04-24	Soyuz_1	DEPARTS	LEO
1967-04-24	Soyuz_1	ARRIVES	Earth
1967-10-27	Soyuz 7K-OK(A)	SUPPORTS	Kosmos_186
1967-10-27	Kosmos_186	DEPARTS	Earth
1967-10-27	Kosmos_186	ARRIVES	LEO
1967-10-30	Soyuz 7K-OK(P)	SUPPORTS	Kosmos_188
1967-10-30	Kosmos_188	DEPARTS	Earth
1967-10-30	Kosmos_188	ARRIVES	LEO
1967-10-30	Soyuz 7K-OK(P)	SUPPORTS	Kosmos_186
1967-10-30		BREAK	
1967-10-30	Soyuz 7K-OK(P)	SUPPORTS	Kosmos_188
1967-10-31	Kosmos_186	DEPARTS	LEO
1967-10-31	Kosmos_186	ARRIVES	Earth
1967-11-02	Kosmos_188	DEPARTS	LEO
1967-11-02	Kosmos_188	ARRIVES	Earth
1967-11-09	Apollo_CSM-017	SUPPORTS	Apollo_4
1967-11-09	Apollo_4	DEPARTS	Earth
1967-11-09	Apollo_4	ARRIVES	HEO
1967-11-09	Apollo_4	DEPARTS	HEO
1967-11-09	Apollo_4	ARRIVES	Earth
1968-01-22	Apollo_LM-1	SUPPORTS	Apollo_5
1968-01-22	Apollo_5	DEPARTS	Earth
1968-01-22	Apollo_5	ARRIVES	LEO
1968-01-23	Apollo_5	DEPARTS	LEO
1968-01-23	Apollo_5	ARRIVES	Earth
1968-03-02	7K-L1 Z4	SUPPORTS	Zond_4
1968-03-02	Zond_4	DEPARTS	Earth
1968-03-02	Zond_4	ARRIVES	LEO
1968-03-02	Zond_4	DEPARTS	LEO
1968-03-02	Zond_4	ARRIVES	HEO
1968-03-07	Zond_4	DEPARTS	HEO
1968-03-07	Zond_4	ARRIVES	Earth
1968-04-04	Apollo_CSM-020	SUPPORTS	Apollo_6
1968-04-04	Apollo_6	DEPARTS	Earth
1968-04-04	Apollo_6	ARRIVES	HEO
1968-04-04	Apollo_6	DEPARTS	HEO
1968-04-04	Apollo_6	ARRIVES	Earth
1968-04-14	Soyuz 7K-OK_K212	SUPPORTS	Kosmos_212
1968-04-14	Kosmos_212	DEPARTS	Earth
1968-04-14	Kosmos_212	ARRIVES	LEO
1968-04-15	Soyuz 7K-OK_K213	SUPPORTS	Kosmos_213
1968-04-15	Kosmos_213	DEPARTS	Earth
1968-04-15	Kosmos_213	ARRIVES	LEO
1968-04-15	Soyuz 7K-OK_K213	SUPPORTS	Kosmos_212
1968-04-15		BREAK	
1968-04-15	Soyuz 7K-OK_K213	SUPPORTS	Kosmos_213
1968-04-20	Kosmos_212	DEPARTS	LEO
1968-04-20	Kosmos_212	ARRIVES	Earth
1968-04-20	Kosmos_213	DEPARTS	LEO
1968-04-20	Kosmos_213	ARRIVES	Earth
1968-09-14	Soyuz 7K-L1 s/n 9	SUPPORTS	Zond_5
1968-09-14	Zond_5	DEPARTS	Earth
1968-09-14	Zond_5	ARRIVES	LEO
1968-09-14	Zond_5	DEPARTS	LEO
1968-09-18	Zond_5	ARRIVES	Lunar_Flyby
1968-09-18	Zond_5	DEPARTS	Lunar_Flyby
1968-09-21	Zond_5	ARRIVES	Earth
1968-10-11	Apollo_CSM-101	SUPPORTS	Apollo_7
1968-10-11	Walter_Cunningham	JOINS	Apollo_7
1968-10-11	Wally_Schirra	JOINS	Apollo_7
1968-10-11	Donn_F._Eisele	JOINS	Apollo_7
1968-10-11	Apollo_7	DEPARTS	Earth
1968-10-11	Apollo_7	ARRIVES	LEO
1968-10-22	Apollo_7	DEPARTS	LEO
1968-10-22	Apollo_7	ARRIVES	Earth
1968-10-25	Soyuz 7K-OK_S2	SUPPORTS	Soyuz_2
1968-10-25	Soyuz_2	DEPARTS	Earth
1968-10-25	Soyuz_2	ARRIVES	LEO
1968-10-26	Soyuz_3_Spacecraft	SUPPORTS	Soyuz_3
1968-10-26	Georgy_Beregovoy	JOINS	Soyuz_3
1968-10-26	Soyuz_3	DEPARTS	Earth
1968-10-26	Soyuz_3	ARRIVES	LEO
1968-10-28	Soyuz_2	DEPARTS	LEO
1968-10-28	Soyuz_2	ARRIVES	Earth
1968-10-30	Soyuz_3	DEPARTS	LEO
1968-10-30	Soyuz_3	ARRIVES	Earth
1968-11-10	Soyuz 7K-L1 s/n 12	SUPPORTS	Zond_6
1968-11-10	Zond_6	DEPARTS	Earth
1968-11-10	Zond_6	ARRIVES	LEO
1968-11-10	Zond_6	DEPARTS	LEO
1968-11-14	Zond_6	ARRIVES	Lunar_Flyby
1968-11-14	Zond_6	DEPARTS	Lunar_Flyby
1968-11-17	Zond_6	ARRIVES	Earth
1968-12-21	Apollo_CSM-103	SUPPORTS	Apollo_8
1968-12-21	William_Anders	JOINS	Apollo_8
1968-12-21	Jim_Lovell	JOINS	Apollo_8
1968-12-21	Frank_Borman	JOINS	Apollo_8
1968-12-21	Apollo_8	DEPARTS	Earth
1968-12-21	Apollo_8	ARRIVES	LEO
