date	subject	eventType	object
1968-01-23T00:00:00.000	Apollo_5	DEPARTS	LEO
1968-01-23T00:00:00.000	Apollo_5	ARRIVES	Earth
1968-03-02T00:00:00.000	7K-L1 Z4	SUPPORTS	Zond_4
1968-03-02T00:00:00.000	Zond_4	DEPARTS	Earth
1968-03-02T00:00:00.000	Zond_4	ARRIVES	LEO
1968-03-02T00:00:00.000	Zond_4	DEPARTS	LEO
1968-03-02T00:00:00.000	Zond_4	ARRIVES	HEO
1968-03-07T00:00:00.000	Zond_4	DEPARTS	HEO
1968-03-07T00:00:00.000	Zond_4	ARRIVES	Earth
1968-04-04T00:00:00.000	Apollo_CSM-020	SUPPORTS	Apollo_6
1968-04-04T00:00:00.000	Apollo_6	DEPARTS	Earth
1968-04-04T00:00:00.000	Apollo_6	ARRIVES	HEO
1968-04-04T00:00:00.000	Apollo_6	DEPARTS	HEO
1968-04-04T00:00:00.000	Apollo_6	ARRIVES	Earth
1968-04-14T00:00:00.000	Soyuz 7K-OK_K212	SUPPORTS	Kosmos_212
1968-04-14T00:00:00.000	Kosmos_212	DEPARTS	Earth
1968-04-14T00:00:00.000	Kosmos_212	ARRIVES	LEO
1968-04-15T00:00:00.000	Soyuz 7K-OK_K213	SUPPORTS	Kosmos_213
1968-04-15T00:00:00.000	Kosmos_213	DEPARTS	Earth
1968-04-15T00:00:00.000	Kosmos_213	ARRIVES	LEO
1968-04-15T00:00:00.000	Soyuz 7K-OK_K213	SUPPORTS	Kosmos_212
1968-04-15T00:00:00.000		BREAK	
1968-04-15T00:00:00.000	Soyuz 7K-OK_K213	SUPPORTS	Kosmos_213
1968-04-20T00:00:00.000	Kosmos_212	DEPARTS	LEO
1968-04-20T00:00:00.000	Kosmos_212	ARRIVES	Earth
1968-04-20T00:00:00.000	Kosmos_213	DEPARTS	LEO
1968-04-20T00:00:00.000	Kosmos_213	ARRIVES	Earth
1968-09-14T00:00:00.000	Soyuz 7K-L1 s/n 9	SUPPORTS	Zond_5
1968-09-14T00:00:00.000	Zond_5	DEPARTS	Earth
1968-09-14T00:00:00.000	Zond_5	ARRIVES	LEO
1968-09-14T00:00:00.000	Zond_5	DEPARTS	LEO
1968-09-18T00:00:00.000	Zond_5	ARRIVES	Lunar_Flyby
1968-09-18T00:00:00.000	Zond_5	DEPARTS	Lunar_Flyby
1968-09-21T00:00:00.000	Zond_5	ARRIVES	Earth
1968-10-11T00:00:00.000	Apollo_CSM-101	SUPPORTS	Apollo_7
1968-10-11T00:00:00.000	Walter_Cunningham	JOINS	Apollo_7
1968-10-11T00:00:00.000	Wally_Schirra	JOINS	Apollo_7
1968-10-11T00:00:00.000	Donn_F._Eisele	JOINS	Apollo_7
1968-10-11T00:00:00.000	Apollo_7	DEPARTS	Earth
1968-10-11T00:00:00.000	Apollo_7	ARRIVES	LEO
1968-10-22T00:00:00.000	Apollo_7	DEPARTS	LEO
1968-10-22T00:00:00.000	Apollo_7	ARRIVES	Earth
1968-10-25T00:00:00.000	Soyuz 7K-OK_S2	SUPPORTS	Soyuz_2
1968-10-25T00:00:00.000	Soyuz_2	DEPARTS	Earth
1968-10-25T00:00:00.000	Soyuz_2	ARRIVES	LEO
1968-10-26T00:00:00.000	Soyuz_3_Spacecraft	SUPPORTS	Soyuz_3
1968-10-26T00:00:00.000	Georgy_Beregovoy	JOINS	Soyuz_3
1968-10-26T00:00:00.000	Soyuz_3	DEPARTS	Earth
1968-10-26T00:00:00.000	Soyuz_3	ARRIVES	LEO
1968-10-28T00:00:00.000	Soyuz_2	DEPARTS	LEO
1968-10-28T00:00:00.000	Soyuz_2	ARRIVES	Earth
1968-10-30T00:00:00.000	Soyuz_3	DEPARTS	LEO
1968-10-30T00:00:00.000	Soyuz_3	ARRIVES	Earth
1968-11-10T00:00:00.000	Soyuz 7K-L1 s/n 12	SUPPORTS	Zond_6
1968-11-10T00:00:00.000	Zond_6	DEPARTS	Earth
1968-11-10T00:00:00.000	Zond_6	ARRIVES	LEO
1968-11-10T00:00:00.000	Zond_6	DEPARTS	LEO
1968-11-14T00:00:00.000	Zond_6	ARRIVES	Lunar_Flyby
1968-11-14T00:00:00.000	Zond_6	DEPARTS	Lunar_Flyby
1968-11-17T00:00:00.000	Zond_6	ARRIVES	Earth
1968-12-21T00:00:00.000	Apollo_CSM-103	SUPPORTS	Apollo_8
1968-12-21T00:00:00.000	William_Anders	JOINS	Apollo_8
1968-12-21T00:00:00.000	Jim_Lovell	JOINS	Apollo_8
1968-12-21T00:00:00.000	Frank_Borman	JOINS	Apollo_8
